ID,CATEGORY,Site Name,State,Other site,Industry,Sample mat,Sample dat,PFOA (ppt),PFOS (ppt),PFOA+PFOS,Total PFAS,Notes and,Link to PF,Link to su,Federal/st,Site-speci,Site-spe_1,"Site Name,",latitude,longitude,name,desc,color,source,precision,ZCTA5CE20,GEOID20,CLASSFP20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20
1525.000000000000000,Known,Camp Davis,North Dakota,,Military,Drinking Water,2018.000000000000000,1.000000000000000,,,3.000000000000000,,https://drive.google.com/file/d/1g1t60FsMLcfluvkLqorqlbsHnkF_rNZw/view?usp=sharing,https://drive.google.com/file/d/1g1t60FsMLcfluvkLqorqlbsHnkF_rNZw/view?usp=sharing,,https://drive.google.com/drive/u/0/folders/17vc5JX3Gvo92Bih-kg-GABnBbExIJhXg,,"Camp Davis, North Dakota",46.810000000000002,-100.819999999999993,,,,,,"58504","58504",B5,G6350,S,"267638048","21522700","+46.7431478","-100.6787452"
1527.000000000000000,Known,Cavalier Air Force Station,North Dakota,,Military,Groundwater,2018.000000000000000,1400.000000000000000,4000.000000000000000,,,,https://drive.google.com/file/d/1zrouM3pZZcVFqQMcDfPo4AXIgDjn99-I/view?usp=sharing,https://ar.afcec-cloud.af.mil/Search.aspx,,,,"Cavalier Air Force Station, North Dakota",48.729999999999997,-97.909999999999997,,,,,,"58220","58220",B5,G6350,S,"456956131","1417977","+48.7976121","-097.7420269"
1528.000000000000000,Known,Devils Lake Wastewater Treatment Plant,North Dakota,,WWTP,Wastewater,2018.000000000000000,22.000000000000000,29.000000000000000,51.000000000000000,154.000000000000000,,https://drive.google.com/file/d/1GMlyOu26Wz3RfVZxb0ZmcSTEE-z4MLqg/view?usp=sharing,,,,,"Devils Lake Wastewater Treatment Plant, North Dakota",48.100000000000001,-98.920000000000002,,,,,,"58301","58301",B5,G6350,S,"710106283","178821640","+48.1418363","-098.8934379"
1529.000000000000000,Known,Dickinson Landfill,North Dakota,,Landfill,Leachate,2018.000000000000000,580.000000000000000,77.000000000000000,657.000000000000000,4061.000000000000000,,https://drive.google.com/file/d/1GMlyOu26Wz3RfVZxb0ZmcSTEE-z4MLqg/view?usp=sharing,,,,,"Dickinson Landfill, North Dakota",46.880000000000003,-102.730000000000004,,,,,,"58601","58601",B5,G6350,S,"1477848078","7174847","+46.9081572","-102.8265639"
1530.000000000000000,Known,Dickinson Wastewater Treatment Plant,North Dakota,,WWTP,Wastewater,2018.000000000000000,6.000000000000000,3.000000000000000,10.000000000000000,79.000000000000000,,https://drive.google.com/file/d/1GMlyOu26Wz3RfVZxb0ZmcSTEE-z4MLqg/view?usp=sharing,,,,,"Dickinson Wastewater Treatment Plant, North Dakota",46.859999999999999,-102.730000000000004,,,,,,"58601","58601",B5,G6350,S,"1477848078","7174847","+46.9081572","-102.8265639"
1531.000000000000000,Known,Fargo Landfill,North Dakota,,Landfill,Leachate,2018.000000000000000,1200.000000000000000,190.000000000000000,1390.000000000000000,7451.000000000000000,,https://drive.google.com/file/d/1GMlyOu26Wz3RfVZxb0ZmcSTEE-z4MLqg/view?usp=sharing,,,,,"Fargo Landfill, North Dakota",46.880000000000003,-96.859999999999999,,,,,,"58102","58102",B5,G6350,S,"81937278","128825","+46.9272104","-096.8348187"
1532.000000000000000,Known,Fargo Wastewater Treatment Plant,North Dakota,,WWTP,Wastewater,2018.000000000000000,6.000000000000000,7.000000000000000,13.000000000000000,80.000000000000000,,https://drive.google.com/file/d/1GMlyOu26Wz3RfVZxb0ZmcSTEE-z4MLqg/view?usp=sharing,,,,,"Fargo Wastewater Treatment Plant, North Dakota",46.770000000000003,-103.040000000000006,,,,,,"58655","58655",B5,G6350,S,"290260729","643715","+46.7708148","-103.0308961"
1533.000000000000000,Known,Garrison Training Center,North Dakota,,Military,Drinking Water,2018.000000000000000,,,,2.000000000000000,,https://drive.google.com/file/d/1g1t60FsMLcfluvkLqorqlbsHnkF_rNZw/view?usp=sharing,https://drive.google.com/file/d/1g1t60FsMLcfluvkLqorqlbsHnkF_rNZw/view?usp=sharing,,https://drive.google.com/drive/u/0/folders/17vc5JX3Gvo92Bih-kg-GABnBbExIJhXg,https://drive.google.com/drive/u/0/folders/198-haqPVCjrBLYpMu330l9NOiAsvGLz6,"Garrison Training Center, North Dakota",47.649999999999999,-101.439999999999998,,,,,,"58540","58540",B5,G6350,S,"936028668","278892289","+47.6217781","-101.7263949"
1539.000000000000000,Known,Hettinger Wastewater Treatment Plant,North Dakota,,WWTP,Wastewater,2018.000000000000000,35.000000000000000,23.000000000000000,58.000000000000000,190.000000000000000,,https://drive.google.com/file/d/1GMlyOu26Wz3RfVZxb0ZmcSTEE-z4MLqg/view?usp=sharing,,,,,"Hettinger Wastewater Treatment Plant, North Dakota",46.000000000000000,-102.650000000000006,,,,,,"58639","58639",B5,G6350,S,"1475611529","2048694","+46.0667352","-102.6505092"
1540.000000000000000,Known,Jahner Landfill,North Dakota,,Landfill,Leachate,2018.000000000000000,340.000000000000000,43.000000000000000,383.000000000000000,2764.000000000000000,,https://drive.google.com/file/d/1GMlyOu26Wz3RfVZxb0ZmcSTEE-z4MLqg/view?usp=sharing,,,,,"Jahner Landfill, North Dakota",45.500000000000000,-102.530000000000001,,,,,,"57620","57620",B5,G6350,S,"901751162","4902990","+45.3772582","-102.5402121"
