ZIP,city,county,STATE_ME,REGION,sample_year,PFAS water sites,Total households,Median household income,Income_DESC,Total population,Nonwhite,Percent Nonwhite,Nonwhite_DESC,Housing units,latitude,longitude
75011,Carrollton,Dallas,Texas,South Region,2015,1,,,,,,,,,32.9754601,-96.8853149
75104,Cedar Hill,Dallas,Texas,South Region,2013,1,15697,76528,"More than $75,000",48821,40711,83.4,More than 75%,16326,32.5848885,-96.9463654
78613,Cedar Park,Williamson,Texas,South Region,2014,1,27558,107983,"More than $75,000",83876,30762,36.7,25.1% - 50%,28722,30.5035725,-97.8208008
76033,Cleburne,Johnson,Texas,South Region,2015,1,9625,56883,"$55,001 - $75,000",25977,7741,29.8,25.1% - 50%,10267,32.3312378,-97.4313812
77327,Cleveland,Liberty,Texas,South Region,2015,1,8900,44379,"$35,000 - $55,000",26206,11349,43.3,25.1% - 50%,10303,30.3327541,-94.9063415
79836,Clint,El Paso,Texas,South Region,2015,1,1772,42979,"$35,000 - $55,000",5804,5435,93.6,More than 75%,1922,31.576767,-106.2254715
75963,cogdoches,cogdoches,Texas,South Region,2015,1,,,,,,,,,31.631237,-94.6402969
77331,Coldspring,San Jacinto,Texas,South Region,2014,1,3178,49348,"$35,000 - $55,000",8064,2134,26.5,25.1% - 50%,4662,30.6149788,-95.1368942
77842,College Station,Brazos,Texas,South Region,2014,1,,,,,,,,,30.5964642,-96.3052979
77843,College Station,Brazos,Texas,South Region,2014,1,,,,,,,,,30.6044273,-96.3484802
76034,Colleyville,Tarrant,Texas,South Region,2013,1,9215,171122,"More than $75,000",26693,4527,17,10% - 25%,9402,32.892971,-97.1491013
76442,Comanche,Comanche,Texas,South Region,2013,1,3038,57384,"$55,001 - $75,000",7812,2840,36.4,25.1% - 50%,4026,31.9114571,-98.6058502
75431,Como,Hopkins,Texas,South Region,2013,1,607,51108,"$35,000 - $55,000",1871,698,37.3,25.1% - 50%,777,33.021183,-95.4563904
77301,Conroe,Montgomery,Texas,South Region,2014,1,10655,49842,"$35,000 - $55,000",34512,22561,65.4,50.1% - 75%,11703,30.3108559,-95.4429245
77305,Conroe,Montgomery,Texas,South Region,2014,1,,,,,,,,,30.3190651,-95.4650726
78109,Converse,Bexar,Texas,South Region,2015,1,11936,68689,"$55,001 - $75,000",39424,28297,71.8,50.1% - 75%,12545,29.4934826,-98.3082504
75432,Cooper,Delta,Texas,South Region,2013,1,1220,50735,"$35,000 - $55,000",3196,504,15.8,10% - 25%,1495,33.3757019,-95.6820984
75019,Coppell,Dallas,Texas,South Region,2015,1,16190,122033,"More than $75,000",43137,21522,49.9,25.1% - 50%,16801,32.9642029,-96.9861603
76522,Copperas Cove,Coryell,Texas,South Region,2014,1,14201,56002,"$55,001 - $75,000",37382,16344,43.7,25.1% - 50%,15848,31.1285152,-97.9141998
78418,Corpus Christi,Kleberg,Texas,South Region,2023,1,12127,77307,"More than $75,000",29789,11175,37.5,25.1% - 50%,15251,27.6419582,-97.2856827
78469,Corpus Christi,Nueces,Texas,South Region,2014,1,,,,,,,,,27.7983856,-97.4264221
75110,Corsica,varro,Texas,South Region,2014,1,10234,43736,"$35,000 - $55,000",29665,16667,56.2,50.1% - 75%,11663,32.0891151,-96.4847946
78615,Coupland,Williamson,Texas,South Region,2013,1,376,70833,"$55,001 - $75,000",1363,624,45.8,25.1% - 50%,415,30.4594936,-97.3944092
75835,Crockett,Houston,Texas,South Region,2014,1,4630,37356,"$35,000 - $55,000",11425,5078,44.4,25.1% - 50%,6136,31.3094368,-95.470932
76036,Crowley,Tarrant,Texas,South Region,2015,1,8872,78485,"More than $75,000",27835,13137,47.2,25.1% - 50%,9535,32.5747109,-97.3755188
77429,Cypress,Harris,Texas,South Region,2014,1,30278,109325,"More than $75,000",90506,38108,42.1,25.1% - 50%,31546,29.9834518,-95.6541214
77429,Cypress,Harris,Texas,South Region,2015,1,30278,109325,"More than $75,000",90506,38108,42.1,25.1% - 50%,31546,29.9834518,-95.6541214
77433,Cypress,Harris,Texas,South Region,2013,1,27750,112167,"More than $75,000",94345,53635,56.8,50.1% - 75%,29323,29.9417439,-95.7174759
77433,Cypress,Harris,Texas,South Region,2014,1,27750,112167,"More than $75,000",94345,53635,56.8,50.1% - 75%,29323,29.9417439,-95.7174759
75201,Dallas,Dallas,Texas,South Region,2015,1,11332,94872,"More than $75,000",18032,6631,36.8,25.1% - 50%,12839,32.7870216,-96.7991562
75205,Dallas,Dallas,Texas,South Region,2015,1,9065,159076,"More than $75,000",24726,4450,18,10% - 25%,10514,32.8338547,-96.7937546
75211,Dallas,Dallas,Texas,South Region,2015,1,22763,46226,"$35,000 - $55,000",77920,70640,90.7,More than 75%,24380,32.7374268,-96.8862839
75234,Dallas,Dallas,Texas,South Region,2014,1,13859,72054,"$55,001 - $75,000",39644,26109,65.9,50.1% - 75%,15185,32.9249725,-96.8938446
75261,Dallas,Tarrant,Texas,South Region,2013,1,,,,,,,,,32.8826103,-97.0369415
75312,Dallas,Dallas,Texas,South Region,2013,1,,,,,,,,,32.7681732,-96.8281708
77430,Damon,Brazoria,Texas,South Region,2013,1,649,81188,"More than $75,000",1867,226,12.1,10% - 25%,829,29.2930012,-95.6748352
77535,Dayton,Liberty,Texas,South Region,2015,1,9678,58813,"$55,001 - $75,000",34603,12065,34.9,25.1% - 50%,10942,30.0403786,-94.8992081
76444,De Leon,Comanche,Texas,South Region,2014,1,1427,47679,"$35,000 - $55,000",3515,913,26,25.1% - 50%,1783,32.1118813,-98.5386887
77536,Deer Park,Harris,Texas,South Region,2014,1,11305,77163,"More than $75,000",32745,14237,43.5,25.1% - 50%,12162,29.6858883,-95.1202087
78840,Del Rio,Val Verde,Texas,South Region,2016,1,16221,47906,"$35,000 - $55,000",47993,41421,86.3,More than 75%,18808,29.3912945,-100.9080582
78840,Del Rio,Val Verde,Texas,South Region,2018,1,16221,47906,"$35,000 - $55,000",47993,41421,86.3,More than 75%,18808,29.3912945,-100.9080582
75021,Denison,Grayson,Texas,South Region,2015,1,3445,53967,"$35,000 - $55,000",9454,2144,22.7,10% - 25%,3884,33.7440987,-96.5022354
76201,Denton,Denton,Texas,South Region,2015,1,10013,32704,"Less than $35,000",29447,12154,41.3,25.1% - 50%,11645,33.2164688,-97.1448059
76208,Denton,Denton,Texas,South Region,2015,1,7648,86735,"More than $75,000",24992,10802,43.2,25.1% - 50%,8097,33.2063942,-97.0721893
75115,Desoto,Dallas,Texas,South Region,2014,1,18989,71292,"$55,001 - $75,000",53118,47440,89.3,More than 75%,20088,32.6005363,-96.8627701
75941,Diboll,Angeli,Texas,South Region,2014,1,2536,51618,"$35,000 - $55,000",8737,5024,57.5,50.1% - 75%,3007,31.1952209,-94.7680664
77539,Dickinson,Galveston,Texas,South Region,2014,1,16255,73285,"$55,001 - $75,000",44228,21739,49.2,25.1% - 50%,18147,29.4659042,-95.0352783
78537,Don,Hidalgo,Texas,South Region,2014,1,12207,29705,"Less than $35,000",45120,42906,95.1,More than 75%,14874,26.1855621,-98.0515289
75943,Douglass,cogdoches,Texas,South Region,2014,1,462,45208,"$35,000 - $55,000",1338,373,27.9,25.1% - 50%,591,31.6466351,-94.8865967
79029,Dumas,Moore,Texas,South Region,2014,1,4752,57457,"$55,001 - $75,000",15349,9816,64,50.1% - 75%,5738,35.8704758,-101.9752502
75138,Duncanville,Dallas,Texas,South Region,2015,1,,,,,,,,,32.6460114,-96.9255218
77434,Eagle Lake,Colorado,Texas,South Region,2014,1,1602,42215,"$35,000 - $55,000",4562,3589,78.7,More than 75%,2054,29.5748882,-96.329895
78852,Eagle Pass,Maverick,Texas,South Region,2014,1,16369,41794,"$35,000 - $55,000",57160,55835,97.7,More than 75%,18150,28.6972885,-100.4761734
78540,Edinburg,Hidalgo,Texas,South Region,2014,1,,,,,,,,,26.3020916,-98.1598434
78542,Edinburg,Hidalgo,Texas,South Region,2013,1,18707,46200,"$35,000 - $55,000",80837,77690,96.1,More than 75%,20855,26.309063,-98.1144104
77437,El Campo,Wharton,Texas,South Region,2013,1,6442,51788,"$35,000 - $55,000",17177,9779,56.9,50.1% - 75%,7214,29.2030373,-96.2782898
77437,El Campo,Wharton,Texas,South Region,2017,1,6442,51788,"$35,000 - $55,000",17177,9779,56.9,50.1% - 75%,7214,29.2030373,-96.2782898
79901,El Paso,El Paso,Texas,South Region,2013,1,3436,12025,"Less than $35,000",8821,8590,97.4,More than 75%,4395,31.7593842,-106.4820709
79906,El Paso,El Paso,Texas,South Region,2015,1,832,55833,"$55,001 - $75,000",3452,1588,46,25.1% - 50%,1011,31.8142204,-106.3891525
79928,El Paso,El Paso,Texas,South Region,2015,1,17370,58608,"$55,001 - $75,000",62344,57820,92.7,More than 75%,18657,31.6905575,-106.2069015
79961,El Paso,El Paso,Texas,South Region,2013,1,,,,,,,,,31.7743321,-106.3753281
78543,Elsa,Hidalgo,Texas,South Region,2014,1,2851,41197,"$35,000 - $55,000",10188,10116,99.3,More than 75%,3106,26.2933502,-97.9939728
75120,Ennis,Ellis,Texas,South Region,2015,1,,,,,,,,,32.3271255,-96.6285629
76039,Euless,Tarrant,Texas,South Region,2014,1,15650,69745,"$55,001 - $75,000",37896,19926,52.6,50.1% - 75%,16477,32.8564186,-97.0825119
75132,Fate,Rockwall,Texas,South Region,2015,1,866,88981,"More than $75,000",2326,917,39.4,25.1% - 50%,916,32.9415169,-96.3821869
76527,Florence,Williamson,Texas,South Region,2014,1,1187,65750,"$55,001 - $75,000",3696,1087,29.4,25.1% - 50%,1271,30.829401,-97.8076248
75028,Flower Mound,Denton,Texas,South Region,2014,1,17046,130075,"More than $75,000",48641,12990,26.7,25.1% - 50%,17531,33.0367546,-97.063324
75126,Forney,Kaufman,Texas,South Region,2015,1,15405,92808,"More than $75,000",52078,21199,40.7,25.1% - 50%,15924,32.7465897,-96.4489136
76544,Fort Hood,Coryell,Texas,South Region,2015,1,2978,44321,"$35,000 - $55,000",23514,12145,51.7,50.1% - 75%,6900,31.1381779,-97.7881393
79735,Fort Stockton,Pecos,Texas,South Region,2014,1,4199,51838,"$35,000 - $55,000",13636,10673,78.3,More than 75%,4855,30.8964367,-102.8867264
76102,Fort Worth,Tarrant,Texas,South Region,2014,1,3795,73563,"$55,001 - $75,000",10632,5445,51.2,50.1% - 75%,4405,32.7546005,-97.3322144
76108,Fort Worth,Tarrant,Texas,South Region,2015,1,15347,70450,"$55,001 - $75,000",42902,16664,38.8,25.1% - 50%,16441,32.7659378,-97.494812
76114,Fort Worth,Tarrant,Texas,South Region,2018,1,9281,55090,"$55,001 - $75,000",27151,17102,63,50.1% - 75%,10099,32.775692,-97.3998566
76118,Fort Worth,Tarrant,Texas,South Region,2015,1,5480,73542,"$55,001 - $75,000",16594,7185,43.3,25.1% - 50%,5902,32.8047829,-97.2217178
76119,Fort Worth,Tarrant,Texas,South Region,2015,1,14780,39129,"$35,000 - $55,000",52279,47720,91.3,More than 75%,16578,32.6922607,-97.2641754
76126,Fort Worth,Tarrant,Texas,South Region,2014,1,8455,93125,"More than $75,000",23844,7262,30.5,25.1% - 50%,9438,32.6566467,-97.5013123
76148,Fort Worth,Tarrant,Texas,South Region,2014,1,7684,75926,"More than $75,000",23679,9600,40.5,25.1% - 50%,7894,32.8659363,-97.2512741
76179,Fort Worth,Tarrant,Texas,South Region,2015,1,23296,92773,"More than $75,000",69066,29775,43.1,25.1% - 50%,24352,32.8862572,-97.4101486
78624,Fredericksburg,Gillespie,Texas,South Region,2014,1,9343,62333,"$55,001 - $75,000",22751,5853,25.7,25.1% - 50%,11264,30.2795296,-98.876709
77541,Freeport,Brazoria,Texas,South Region,2015,1,6813,50180,"$35,000 - $55,000",19072,12449,65.3,50.1% - 75%,9302,28.9834404,-95.3192749
77546,Friendswood,Galveston,Texas,South Region,2014,1,17987,105406,"More than $75,000",53148,17891,33.7,25.1% - 50%,19071,29.514389,-95.1896973
79035,Frio,Parmer,Texas,South Region,2013,1,1850,63241,"$55,001 - $75,000",5166,3476,67.3,50.1% - 75%,2058,34.6396179,-102.7115479
75034,Frisco,Collin,Texas,South Region,2015,1,41335,116213,"More than $75,000",116155,48835,42,25.1% - 50%,44388,33.1258507,-96.8316345
76240,Gainesville,Cooke,Texas,South Region,2014,1,11017,55975,"$55,001 - $75,000",28546,8845,31,25.1% - 50%,11978,33.6279068,-97.1192703
77547,Gale Park,Harris,Texas,South Region,2015,1,2765,43341,"$35,000 - $55,000",9895,9284,93.8,More than 75%,2892,29.7383194,-95.239563
77553,Galveston,Galveston,Texas,South Region,2015,1,,,,,,,,,29.3025303,-94.7954788
75046,Garland,Dallas,Texas,South Region,2015,1,,,,,,,,,32.9161262,-96.6423798
78626,Georgetown,Williamson,Texas,South Region,2013,1,11466,80152,"More than $75,000",38537,16398,42.6,25.1% - 50%,12309,30.6374359,-97.6494217
75645,Gilmer,Upshur,Texas,South Region,2013,1,3811,61625,"$55,001 - $75,000",10393,1820,17.5,10% - 25%,4524,32.6635857,-94.882988
76048,Granbury,Hood,Texas,South Region,2014,1,9933,54724,"$35,000 - $55,000",24586,3973,16.2,10% - 25%,11909,32.4265976,-97.797493
76049,Granbury,Hood,Texas,South Region,2015,1,11604,86396,"More than $75,000",30062,4866,16.2,10% - 25%,12796,32.4389153,-97.7114716
75051,Grand Prairie,Dallas,Texas,South Region,2023,1,13453,41455,"$35,000 - $55,000",41317,35068,84.9,More than 75%,14514,32.7287178,-97.0119705
75053,Grand Prairie,Dallas,Texas,South Region,2014,1,,,,,,,,,32.7366524,-97.0145874
76050,Grandview,Johnson,Texas,South Region,2015,1,2209,67271,"$55,001 - $75,000",6094,876,14.4,10% - 25%,2428,32.2722359,-97.1792374
76099,Grapevine,Tarrant,Texas,South Region,2014,1,,,,,,,,,32.9283104,-97.0859222
75403,Greenville,Hunt,Texas,South Region,2013,1,,,,,,,,,33.1390114,-96.1089706
75404,Greenville,Hunt,Texas,South Region,2015,1,,,,,,,,,33.1072349,-96.1095505
77619,Groves,Jefferson,Texas,South Region,2015,1,5747,56336,"$55,001 - $75,000",15531,6367,41,25.1% - 50%,6430,29.9462566,-93.9184036
76117,Haltom City,Tarrant,Texas,South Region,2013,1,10601,47473,"$35,000 - $55,000",32191,20743,64.4,50.1% - 75%,11213,32.8067436,-97.2679901
76548,Harker Heights,Bell,Texas,South Region,2015,1,10945,72513,"$55,001 - $75,000",31247,16820,53.8,50.1% - 75%,12118,31.0674934,-97.6527405
78551,Harlingen,Cameron,Texas,South Region,2014,1,,,,,,,,,26.1917496,-97.6940994
78631,Harper,Kimble,Texas,South Region,2018,1,1129,58454,"$55,001 - $75,000",3157,492,15.6,10% - 25%,1426,30.2821446,-99.2457123
75948,Hemphill,Sabine,Texas,South Region,2015,1,2717,38939,"$35,000 - $55,000",6072,1087,17.9,10% - 25%,5383,31.3194866,-93.7932739
75652,Henderson,Rusk,Texas,South Region,2015,1,4672,56721,"$55,001 - $75,000",16078,6963,43.3,25.1% - 50%,5613,32.1955032,-94.7480393
79045,Hereford,Deaf Smith,Texas,South Region,2013,1,6046,50635,"$35,000 - $55,000",18706,14355,76.7,More than 75%,7106,34.8259735,-102.407959
76643,Hewitt,McLenn,Texas,South Region,2014,1,5167,71096,"$55,001 - $75,000",14705,4181,28.4,25.1% - 50%,5329,31.4482098,-97.2013016
77562,Highlands,Harris,Texas,South Region,2013,1,3600,56927,"$55,001 - $75,000",10064,4875,48.4,25.1% - 50%,3846,29.8231258,-95.052475
76366,Holliday,Archer,Texas,South Region,2014,1,839,47574,"$35,000 - $55,000",2152,198,9.2,Less than 10%,1038,33.7403565,-98.7200546
78861,Hondo,Medi,Texas,South Region,2015,1,4402,55155,"$55,001 - $75,000",14318,8607,60.1,50.1% - 75%,5042,29.3644085,-99.1165771
77005,Houston,Harris,Texas,South Region,2014,1,10271,202526,"More than $75,000",29022,8187,28.2,25.1% - 50%,10949,29.717701,-95.4246902
77010,Houston,Harris,Texas,South Region,2014,2,598,250000,"More than $75,000",911,108,11.9,10% - 25%,835,29.7551537,-95.3619156
77010,Houston,Harris,Texas,South Region,2015,1,598,250000,"More than $75,000",911,108,11.9,10% - 25%,835,29.7551537,-95.3619156
77015,Houston,Harris,Texas,South Region,2014,1,17789,50118,"$35,000 - $55,000",57553,51928,90.2,More than 75%,19707,29.7806091,-95.1866684
77019,Houston,Harris,Texas,South Region,2013,2,11510,116032,"More than $75,000",22164,7834,35.3,25.1% - 50%,12719,29.7531605,-95.4008942
77019,Houston,Harris,Texas,South Region,2014,2,11510,116032,"More than $75,000",22164,7834,35.3,25.1% - 50%,12719,29.7531605,-95.4008942
77019,Houston,Harris,Texas,South Region,2015,1,11510,116032,"More than $75,000",22164,7834,35.3,25.1% - 50%,12719,29.7531605,-95.4008942
77019,Houston,Harris,Texas,South Region,2016,1,11510,116032,"More than $75,000",22164,7834,35.3,25.1% - 50%,12719,29.7531605,-95.4008942
77024,Houston,Harris,Texas,South Region,2014,1,16019,122987,"More than $75,000",38723,12700,32.8,25.1% - 50%,18039,29.7726498,-95.5109329
77027,Houston,Harris,Texas,South Region,2013,2,10699,99773,"More than $75,000",19171,7540,39.3,25.1% - 50%,12838,29.7416115,-95.4488983
77027,Houston,Harris,Texas,South Region,2014,3,10699,99773,"More than $75,000",19171,7540,39.3,25.1% - 50%,12838,29.7416115,-95.4488983
77027,Houston,Harris,Texas,South Region,2015,5,10699,99773,"More than $75,000",19171,7540,39.3,25.1% - 50%,12838,29.7416115,-95.4488983
77046,Houston,Harris,Texas,South Region,2013,2,938,130092,"More than $75,000",1344,515,38.3,25.1% - 50%,1107,29.7314892,-95.4330368
77046,Houston,Harris,Texas,South Region,2014,2,938,130092,"More than $75,000",1344,515,38.3,25.1% - 50%,1107,29.7314892,-95.4330368
77056,Houston,Harris,Texas,South Region,2014,4,11597,106974,"More than $75,000",22155,8995,40.6,25.1% - 50%,14339,29.7460976,-95.4667053
77056,Houston,Harris,Texas,South Region,2015,6,11597,106974,"More than $75,000",22155,8995,40.6,25.1% - 50%,14339,29.7460976,-95.4667053
77057,Houston,Harris,Texas,South Region,2014,1,20520,58900,"$55,001 - $75,000",42897,25067,58.4,50.1% - 75%,23686,29.7421818,-95.487442
77057,Houston,Harris,Texas,South Region,2015,1,20520,58900,"$55,001 - $75,000",42897,25067,58.4,50.1% - 75%,23686,29.7421818,-95.487442
77058,Houston,Harris,Texas,South Region,2014,2,8086,54866,"$35,000 - $55,000",15930,6748,42.4,25.1% - 50%,9323,29.5570412,-95.1061172
77059,Houston,Harris,Texas,South Region,2018,1,5868,139371,"More than $75,000",17483,6542,37.4,25.1% - 50%,6013,29.6012306,-95.1176834
77081,Houston,Harris,Texas,South Region,2022,1,18632,34817,"Less than $35,000",51781,47259,91.3,More than 75%,20763,29.7091637,-95.4837112
77089,Houston,Harris,Texas,South Region,2015,1,17210,75622,"More than $75,000",55410,44861,81,More than 75%,18129,29.5878964,-95.2236099
77098,Houston,Harris,Texas,South Region,2014,1,8825,98727,"More than $75,000",15487,5075,32.8,25.1% - 50%,10037,29.7356167,-95.4166718
77098,Houston,Harris,Texas,South Region,2015,1,8825,98727,"More than $75,000",15487,5075,32.8,25.1% - 50%,10037,29.7356167,-95.4166718
77251,Houston,Harris,Texas,South Region,2014,2,,,,,,,,,29.7649193,-95.3643036
77338,Humble,Harris,Texas,South Region,2014,1,15509,57566,"$55,001 - $75,000",45092,37663,83.5,More than 75%,16321,30.0049954,-95.2894058
77340,Huntsville,Walker,Texas,South Region,2014,1,12009,32403,"Less than $35,000",31404,13403,42.7,25.1% - 50%,13628,30.6828022,-95.5516357
76054,Hurst,Tarrant,Texas,South Region,2014,1,4489,100271,"More than $75,000",12178,3196,26.2,25.1% - 50%,4647,32.8584633,-97.1795731
78634,Hutto,Williamson,Texas,South Region,2014,2,11461,90843,"More than $75,000",37298,18075,48.5,25.1% - 50%,12016,30.5413342,-97.5566635
78362,Ingleside,San Patricio,Texas,South Region,2015,1,3779,64592,"$55,001 - $75,000",11025,6102,55.3,50.1% - 75%,4296,27.8658733,-97.2068558
75060,Irving,Dallas,Texas,South Region,2014,1,14175,59539,"$55,001 - $75,000",49307,39323,79.8,More than 75%,14973,32.8043594,-96.9608383
75766,Jacksonville,Cherokee,Texas,South Region,2015,1,9982,47010,"$35,000 - $55,000",26995,13077,48.4,25.1% - 50%,11388,31.9611073,-95.2508621
75951,Jasper,Jasper,Texas,South Region,2014,1,6089,38975,"$35,000 - $55,000",16154,6460,40,25.1% - 50%,7670,30.9281349,-94.0303726
76058,Joshua,Johnson,Texas,South Region,2015,1,6917,57874,"$55,001 - $75,000",21037,5156,24.5,10% - 25%,7600,32.4691086,-97.4179916
77492,Katy,Harris,Texas,South Region,2014,1,,,,,,,,,29.9834518,-95.6541214
76244,Keller,Tarrant,Texas,South Region,2014,1,24890,108595,"More than $75,000",78815,29858,37.9,25.1% - 50%,26447,32.9301262,-97.2805481
75143,Kemp,Kaufman,Texas,South Region,2014,1,5340,51913,"$35,000 - $55,000",14336,2648,18.5,10% - 25%,7384,32.3705711,-96.2333221
76539,Kempner,Lampasas,Texas,South Region,2014,1,3106,71738,"$55,001 - $75,000",8824,2628,29.8,25.1% - 50%,3612,31.0785465,-97.9857483
78028,Kerrville,Kerr,Texas,South Region,2014,1,16597,55776,"$55,001 - $75,000",40058,12592,31.4,25.1% - 50%,18184,30.0438518,-99.1484299
